experiment,plant,date_time,camera,view_option,hash,date,time
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-11 06:08:44,msp,sw755,be6sCxHH8PkMP-ZsQlWl5FXrMgZw.jpg,2019-05-11,06:08:44
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-12 06:08:42,msp,sw755,bzxxHFz3sNO2rEMRp7l5LOY2QaM0.jpg,2019-05-12,06:08:42
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-14 11:52:53,msp,sw755,byZXAbxeR-HO3GbOukZK1dYuNMuY.jpg,2019-05-14,11:52:53
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-15 06:08:38,msp,sw755,bYv7MUzNqoxTiC-vE2FF4VFG1OmE.jpg,2019-05-15,06:08:38
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-16 06:08:40,msp,sw755,beidAXg2COQFipoBp9g2JLFbvc1E.jpg,2019-05-16,06:08:40
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-17 06:08:41,msp,sw755,bWTmwCbhpW-CHSpizPSzwLbHE1Cc.jpg,2019-05-17,06:08:41
10ac_mpo1_1904,10ac110_o8_mock_xx_110,2019-05-18 06:08:33,msp,sw755,bEkB1QCYlqm9Al0yMK9JmrRJzU.jpg,2019-05-18,06:08:33
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-04 06:09:31,msp,sw755,bYenYrAm3EOFD7QLq4C6dcBzPwc.jpg,2019-05-04,06:09:31
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-05 06:10:12,msp,sw755,bzbVyrZt95vs931DCOgu6CryL4I.jpg,2019-05-05,06:10:12
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-07 06:10:32,msp,sw755,b0xuS1OaRX7JXc12nDCE1V19XUo8.jpg,2019-05-07,06:10:32
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-08 12:37:56,msp,sw755,b9gjAfN0KzB7l3ksiHap7tngw2aw.jpg,2019-05-08,12:37:56
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-09 06:09:23,msp,sw755,bE3rsQJ64s0X08E6xlcNEi7Rrkg.jpg,2019-05-09,06:09:23
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-10 06:09:30,msp,sw755,bXPm4-bu091PoJvqEpjFmfWTyho.jpg,2019-05-10,06:09:30
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-11 06:09:35,msp,sw755,bWVu36XUyFtW0K-5aeaSi6y-4-28.jpg,2019-05-11,06:09:35
10ac_mpo1_1904,10ac111_ts_mock_xx_111,2019-05-12 06:09:34,msp,sw755,bKlvtciR8fxz0UUIjrZfzCbKB2j4.jpg,2019-05-12,06:09:34
